
observation_date,CBBTCUSD
2015-06-18,249.27
2015-06-19,246.33
2015-06-20,246.13
2015-06-21,244.66
2015-06-22,247.50
2015-06-23,244.52
2015-06-24,240.04
2015-06-25,242.44
2015-06-26,243.00
2015-06-27,251.59
2015-06-28,249.11
2015-06-29,257.54
2015-06-30,263.82
2015-07-01,259.02
2015-07-02,254.85
2015-07-03,256.95
2015-07-04,260.64
2015-07-05,271.74
2015-07-06,269.94
2015-07-07,266.18
2015-07-08,270.97
2015-07-09,269.75
2015-07-10,286.67
2015-07-11,294.23
2015-07-12,312.16
2015-07-13,293.08
2015-07-14,287.51
2015-07-15,285.70
2015-07-16,279.38
2015-07-17,280.58
2015-07-18,277.71
2015-07-19,275.61
2015-07-20,280.00
2015-07-21,277.32
2015-07-22,277.89
2015-07-23,277.39
2015-07-24,289.12
2015-07-25,289.70
2015-07-26,293.89
2015-07-27,294.21
2015-07-28,295.76
2015-07-29,290.19
2015-07-30,288.49
2015-07-31,285.19
2015-08-01,281.53
2015-08-02,282.62
2015-08-03,280.95
2015-08-04,285.51
2015-08-05,282.77
2015-08-06,279.65
2015-08-07,279.94
2015-08-08,262.02
2015-08-09,267.63
2015-08-10,265.15
2015-08-11,271.99
2015-08-12,266.94
2015-08-13,264.67
2015-08-14,266.17
2015-08-15,262.46
2015-08-16,259.20
2015-08-17,257.31
2015-08-18,221.99
2015-08-19,227.34
2015-08-20,235.56
2015-08-21,232.85
2015-08-22,231.15
2015-08-23,229.21
2015-08-24,211.16
2015-08-25,223.73
2015-08-26,226.81
2015-08-27,225.80
2015-08-28,231.55
2015-08-29,230.61
2015-08-30,229.39
2015-08-31,230.75
2015-09-01,228.22
2015-09-02,229.97
2015-09-03,227.25
2015-09-04,231.39
2015-09-05,236.01
2015-09-06,241.29
2015-09-07,241.31
2015-09-08,244.14
2015-09-09,238.75
2015-09-10,238.52
2015-09-11,240.90
2015-09-12,236.50
2015-09-13,230.82
2015-09-14,231.01
2015-09-15,230.60
2015-09-16,229.73
2015-09-17,233.34
2015-09-18,233.78
2015-09-19,232.88
2015-09-20,232.24
2015-09-21,227.31
2015-09-22,231.28
2015-09-23,230.26
2015-09-24,235.27
2015-09-25,235.89
2015-09-26,234.69
2015-09-27,233.58
2015-09-28,239.99
2015-09-29,236.89
2015-09-30,237.14
2015-10-01,238.34
2015-10-02,238.28
2015-10-03,239.92
2015-10-04,239.87
2015-10-05,240.95
2015-10-06,246.64
2015-10-07,244.00
2015-10-08,242.94
2015-10-09,244.35
2015-10-10,246.07
2015-10-11,249.02
2015-10-12,246.39
2015-10-13,250.99
2015-10-14,253.27
2015-10-15,254.99
2015-10-16,263.43
2015-10-17,272.87
2015-10-18,265.00
2015-10-19,265.17
2015-10-20,271.14
2015-10-21,268.77
2015-10-22,275.84
2015-10-23,278.76
2015-10-24,284.29
2015-10-25,284.97
2015-10-26,287.10
2015-10-27,295.61
2015-10-28,304.09
2015-10-29,316.08
2015-10-30,329.11
2015-10-31,314.85
2015-11-01,329.46
2015-11-02,365.21
2015-11-03,404.10
2015-11-04,410.00
2015-11-05,387.21
2015-11-06,374.09
2015-11-07,384.81
2015-11-08,373.83
2015-11-09,379.53
2015-11-10,337.14
2015-11-11,313.20
2015-11-12,336.49
2015-11-13,338.07
2015-11-14,334.71
2015-11-15,322.93
2015-11-16,332.89
2015-11-17,336.49
2015-11-18,335.49
2015-11-19,326.41
2015-11-20,322.39
2015-11-21,327.00
2015-11-22,323.71
2015-11-23,323.00
2015-11-24,321.00
2015-11-25,328.98
2015-11-26,352.57
2015-11-27,358.19
2015-11-28,357.24
2015-11-29,372.24
2015-11-30,376.86
2015-12-01,362.68
2015-12-02,360.00
2015-12-03,361.77
2015-12-04,363.98
2015-12-05,387.99
2015-12-06,387.55
2015-12-07,394.73
2015-12-08,418.94
2015-12-09,418.39
2015-12-10,415.68
2015-12-11,452.95
2015-12-12,436.87
2015-12-13,433.83
2015-12-14,444.01
2015-12-15,464.27
2015-12-16,453.97
2015-12-17,455.50
2015-12-18,463.17
2015-12-19,461.29
2015-12-20,442.22
2015-12-21,436.81
2015-12-22,433.92
2015-12-23,442.43
2015-12-24,455.74
2015-12-25,455.84
2015-12-26,419.41
2015-12-27,424.72
2015-12-28,421.94
2015-12-29,433.89
2015-12-30,427.95
2015-12-31,430.35
2016-01-01,435.66
2016-01-02,435.40
2016-01-03,431.91
2016-01-04,433.85
2016-01-05,433.34
2016-01-06,430.87
2016-01-07,459.07
2016-01-08,454.44
2016-01-09,450.38
2016-01-10,449.99
2016-01-11,449.19
2016-01-12,434.01
2016-01-13,432.77
2016-01-14,430.03
2016-01-15,357.53
2016-01-16,388.70
2016-01-17,378.46
2016-01-18,384.89
2016-01-19,375.27
2016-01-20,418.54
2016-01-21,409.38
2016-01-22,382.90
2016-01-23,387.50
2016-01-24,403.05
2016-01-25,391.40
2016-01-26,391.54
2016-01-27,394.79
2016-01-28,379.61
2016-01-29,378.68
2016-01-30,378.46
2016-01-31,367.95
2016-02-01,371.33
2016-02-02,372.93
2016-02-03,368.87
2016-02-04,387.99
2016-02-05,384.50
2016-02-06,375.44
2016-02-07,377.49
2016-02-08,371.14
2016-02-09,372.68
2016-02-10,378.44
2016-02-11,378.23
2016-02-12,382.05
2016-02-13,391.00
2016-02-14,406.59
2016-02-15,398.95
2016-02-16,407.42
2016-02-17,415.20
2016-02-18,421.19
2016-02-19,420.72
2016-02-20,437.46
2016-02-21,438.56
2016-02-22,437.55
2016-02-23,419.97
2016-02-24,423.94
2016-02-25,423.54
2016-02-26,430.85
2016-02-27,433.12
2016-02-28,433.73
2016-02-29,436.44
2016-03-01,433.08
2016-03-02,420.39
2016-03-03,418.80
2016-03-04,407.35
2016-03-05,396.08
2016-03-06,403.24
2016-03-07,412.21
2016-03-08,411.18
2016-03-09,412.80
2016-03-10,415.98
2016-03-11,419.39
2016-03-12,410.58
2016-03-13,412.52
2016-03-14,415.02
2016-03-15,415.41
2016-03-16,416.07
2016-03-17,418.41
2016-03-18,409.65
2016-03-19,410.20
2016-03-20,411.27
2016-03-21,412.00
2016-03-22,416.66
2016-03-23,417.53
2016-03-24,412.95
2016-03-25,416.41
2016-03-26,416.97
2016-03-27,425.30
2016-03-28,423.00
2016-03-29,416.39
2016-03-30,412.79
2016-03-31,416.03
2016-04-01,417.68
2016-04-02,419.95
2016-04-03,420.16
2016-04-04,419.47
2016-04-05,422.36
2016-04-06,421.46
2016-04-07,421.99
2016-04-08,419.48
2016-04-09,419.46
2016-04-10,423.40
2016-04-11,423.94
2016-04-12,427.80
2016-04-13,425.58
2016-04-14,426.32
2016-04-15,430.93
2016-04-16,433.39
2016-04-17,431.00
2016-04-18,430.97
2016-04-19,437.06
2016-04-20,442.96
2016-04-21,452.25
2016-04-22,448.41
2016-04-23,455.69
2016-04-24,464.46
2016-04-25,466.17
2016-04-26,470.59
2016-04-27,445.31
2016-04-28,451.68
2016-04-29,458.82
2016-04-30,454.02
2016-05-01,456.98
2016-05-02,446.42
2016-05-03,452.21
2016-05-04,448.68
2016-05-05,449.98
2016-05-06,462.31
2016-05-07,461.91
2016-05-08,462.79
2016-05-09,464.16
2016-05-10,452.78
2016-05-11,454.37
2016-05-12,456.48
2016-05-13,457.98
2016-05-14,458.90
2016-05-15,461.47
2016-05-16,455.66
2016-05-17,454.19
2016-05-18,455.56
2016-05-19,438.38
2016-05-20,445.65
2016-05-21,446.28
2016-05-22,442.48
2016-05-23,445.67
2016-05-24,446.99
2016-05-25,451.49
2016-05-26,454.97
2016-05-27,471.27
2016-05-28,523.25
2016-05-29,525.22
2016-05-30,532.55
2016-05-31,531.34
2016-06-01,534.84
2016-06-02,537.87
2016-06-03,571.25
2016-06-04,576.31
2016-06-05,575.17
2016-06-06,586.77
2016-06-07,579.71
2016-06-08,583.21
2016-06-09,577.46
2016-06-10,580.31
2016-06-11,609.50
2016-06-12,677.86
2016-06-13,706.01
2016-06-14,684.95
2016-06-15,698.78
2016-06-16,769.76
2016-06-17,752.26
2016-06-18,758.99
2016-06-19,768.76
2016-06-20,703.12
2016-06-21,667.66
2016-06-22,604.50
2016-06-23,631.10
2016-06-24,669.98
2016-06-25,673.71
2016-06-26,638.56
2016-06-27,657.87
2016-06-28,648.43
2016-06-29,639.42
2016-06-30,673.49
2016-07-01,678.19
2016-07-02,704.95
2016-07-03,663.55
2016-07-04,681.98
2016-07-05,669.87
2016-07-06,678.79
2016-07-07,641.97
2016-07-08,667.33
2016-07-09,657.61
2016-07-10,652.44
2016-07-11,650.97
2016-07-12,666.56
2016-07-13,655.34
2016-07-14,661.65
2016-07-15,667.48
2016-07-16,666.32
2016-07-17,680.00
2016-07-18,675.50
2016-07-19,673.98
2016-07-20,666.92
2016-07-21,667.28
2016-07-22,654.67
2016-07-23,657.50
2016-07-24,661.00
2016-07-25,657.79
2016-07-26,654.06
2016-07-27,657.35
2016-07-28,657.40
2016-07-29,657.00
2016-07-30,655.87
2016-07-31,626.97
2016-08-01,605.20
2016-08-02,537.47
2016-08-03,573.36
2016-08-04,587.50
2016-08-05,583.00
2016-08-06,591.71
2016-08-07,595.14
2016-08-08,591.48
2016-08-09,586.45
2016-08-10,594.94
2016-08-11,587.91
2016-08-12,587.74
2016-08-13,586.45
2016-08-14,574.99
2016-08-15,567.79
2016-08-16,579.02
2016-08-17,574.45
2016-08-18,574.09
2016-08-19,573.67
2016-08-20,581.87
2016-08-21,581.29
2016-08-22,585.20
2016-08-23,582.39
2016-08-24,578.47
2016-08-25,575.58
2016-08-26,579.29
2016-08-27,570.84
2016-08-28,575.41
2016-08-29,573.21
2016-08-30,574.95
2016-08-31,572.89
2016-09-01,573.02
2016-09-02,576.21
2016-09-03,600.91
2016-09-04,611.92
2016-09-05,605.69
2016-09-06,612.99
2016-09-07,615.21
2016-09-08,627.97
2016-09-09,622.07
2016-09-10,623.74
2016-09-11,607.94
2016-09-12,606.74
2016-09-13,608.63
2016-09-14,608.43
2016-09-15,605.44
2016-09-16,607.93
2016-09-17,607.92
2016-09-18,611.40
2016-09-19,608.60
2016-09-20,605.60
2016-09-21,597.00
2016-09-22,596.21
2016-09-23,602.96
2016-09-24,603.68
2016-09-25,601.67
2016-09-26,607.08
2016-09-27,605.71
2016-09-28,605.04
2016-09-29,605.99
2016-09-30,608.99
2016-10-01,615.65
2016-10-02,612.40
2016-10-03,612.99
2016-10-04,610.34
2016-10-05,613.16
2016-10-06,611.88
2016-10-07,617.98
2016-10-08,619.50
2016-10-09,617.42
2016-10-10,618.72
2016-10-11,642.12
2016-10-12,635.79
2016-10-13,635.66
2016-10-14,638.03
2016-10-15,638.16
2016-10-16,641.92
2016-10-17,639.56
2016-10-18,635.11
2016-10-19,629.79
2016-10-20,628.05
2016-10-21,630.83
2016-10-22,652.75
2016-10-23,651.04
2016-10-24,649.98
2016-10-25,654.30
2016-10-26,674.00
2016-10-27,691.21
2016-10-28,689.95
2016-10-29,714.28
2016-10-30,697.41
2016-10-31,696.90
2016-11-01,730.70
2016-11-02,744.60
2016-11-03,690.00
2016-11-04,706.32
2016-11-05,706.99
2016-11-06,717.02
2016-11-07,706.42
2016-11-08,711.15
2016-11-09,720.97
2016-11-10,712.91
2016-11-11,716.90
2016-11-12,704.53
2016-11-13,704.01
2016-11-14,708.32
2016-11-15,712.29
2016-11-16,739.85
2016-11-17,730.71
2016-11-18,748.54
2016-11-19,750.77
2016-11-20,731.99
2016-11-21,736.40
2016-11-22,746.66
2016-11-23,741.52
2016-11-24,737.99
2016-11-25,739.74
2016-11-26,735.70
2016-11-27,729.24
2016-11-28,729.77
2016-11-29,732.37
2016-11-30,742.69
2016-12-01,754.00
2016-12-02,769.25
2016-12-03,766.98
2016-12-04,767.99
2016-12-05,752.00
2016-12-06,759.80
2016-12-07,764.34
2016-12-08,767.89
2016-12-09,773.22
2016-12-10,775.87
2016-12-11,771.05
2016-12-12,778.94
2016-12-13,776.18
2016-12-14,777.66
2016-12-15,776.16
2016-12-16,780.98
2016-12-17,788.57
2016-12-18,790.72
2016-12-19,790.81
2016-12-20,798.99
2016-12-21,834.50
2016-12-22,856.02
2016-12-23,917.26
2016-12-24,891.50
2016-12-25,896.12
2016-12-26,902.09
2016-12-27,925.20
2016-12-28,982.17
2016-12-29,970.72
2016-12-30,960.81
2016-12-31,973.37
2017-01-01,992.95
2017-01-02,1011.45
2017-01-03,1020.67
2017-01-04,1130.30
2017-01-05,1007.00
2017-01-06,895.71
2017-01-07,909.00
2017-01-08,923.33
2017-01-09,902.66
2017-01-10,907.00
2017-01-11,795.77
2017-01-12,812.25
2017-01-13,831.42
2017-01-14,828.00
2017-01-15,833.31
2017-01-16,834.41
2017-01-17,906.00
2017-01-18,887.99
2017-01-19,902.92
2017-01-20,894.31
2017-01-21,925.06
2017-01-22,931.22
2017-01-23,910.70
2017-01-24,887.00
2017-01-25,896.00
2017-01-26,917.02
2017-01-27,922.63
2017-01-28,924.98
2017-01-29,916.54
2017-01-30,923.23
2017-01-31,970.01
2017-02-01,992.75
2017-02-02,1008.38
2017-02-03,1018.00
2017-02-04,1035.54
2017-02-05,1016.32
2017-02-06,1022.58
2017-02-07,1053.96
2017-02-08,1056.70
2017-02-09,994.24
2017-02-10,1001.99
2017-02-11,1018.65
2017-02-12,1010.00
2017-02-13,1002.82
2017-02-14,1013.92
2017-02-15,1014.53
2017-02-16,1038.94
2017-02-17,1057.30
2017-02-18,1062.15
2017-02-19,1059.88
2017-02-20,1089.82
2017-02-21,1128.29
2017-02-22,1128.71
2017-02-23,1186.90
2017-02-24,1186.91
2017-02-25,1158.00
2017-02-26,1184.91
2017-02-27,1195.81
2017-02-28,1195.08
2017-03-01,1230.00
2017-03-02,1269.17
2017-03-03,1292.86
2017-03-04,1273.97
2017-03-05,1278.98
2017-03-06,1284.99
2017-03-07,1237.36
2017-03-08,1150.22
2017-03-09,1197.30
2017-03-10,1109.01
2017-03-11,1188.11
2017-03-12,1235.58
2017-03-13,1245.49
2017-03-14,1247.42
2017-03-15,1263.00
2017-03-16,1175.11
2017-03-17,1069.57
2017-03-18,970.00
2017-03-19,1019.49
2017-03-20,1044.96
2017-03-21,1114.42
2017-03-22,1034.57
2017-03-23,1025.14
2017-03-24,934.87
2017-03-25,963.72
2017-03-26,973.08
2017-03-27,1042.08
2017-03-28,1045.40
2017-03-29,1043.27
2017-03-30,1042.34
2017-03-31,1088.99
2017-04-01,1092.00
2017-04-02,1113.99
2017-04-03,1152.60
2017-04-04,1143.99
2017-04-05,1132.99
2017-04-06,1192.30
2017-04-07,1194.00
2017-04-08,1184.50
2017-04-09,1210.97
2017-04-10,1210.00
2017-04-11,1223.99
2017-04-12,1214.17
2017-04-13,1177.05
2017-04-14,1173.74
2017-04-15,1178.85
2017-04-16,1177.99
2017-04-17,1189.91
2017-04-18,1201.94
2017-04-19,1214.21
2017-04-20,1236.15
2017-04-21,1249.99
2017-04-22,1247.00
2017-04-23,1251.98
2017-04-24,1257.29
2017-04-25,1281.16
2017-04-26,1298.44
2017-04-27,1349.26
2017-04-28,1353.34
2017-04-29,1365.43
2017-04-30,1384.55
2017-05-01,1436.50
2017-05-02,1471.99
2017-05-03,1533.00
2017-05-04,1563.39
2017-05-05,1551.30
2017-05-06,1585.39
2017-05-07,1609.57
2017-05-08,1713.00
2017-05-09,1720.43
2017-05-10,1794.99
2017-05-11,1837.93
2017-05-12,1695.61
2017-05-13,1792.73
2017-05-14,1799.99
2017-05-15,1747.81
2017-05-16,1777.48
2017-05-17,1813.23
2017-05-18,1899.16
2017-05-19,1976.23
2017-05-20,2058.91
2017-05-21,2057.00
2017-05-22,2123.29
2017-05-23,2272.75
2017-05-24,2432.97
2017-05-25,2355.00
2017-05-26,2272.70
2017-05-27,2099.99
2017-05-28,2232.78
2017-05-29,2279.48
2017-05-30,2191.58
2017-05-31,2303.29
2017-06-01,2419.99
2017-06-02,2478.99
2017-06-03,2548.05
2017-06-04,2521.36
2017-06-05,2698.00
2017-06-06,2871.29
2017-06-07,2685.64
2017-06-08,2799.73
2017-06-09,2811.39
2017-06-10,2931.15
2017-06-11,2998.98
2017-06-12,2655.71
2017-06-13,2709.01
2017-06-14,2432.21
2017-06-15,2409.98
2017-06-16,2480.43
2017-06-17,2634.94
2017-06-18,2515.25
2017-06-19,2596.98
2017-06-20,2725.08
2017-06-21,2643.35
2017-06-22,2679.99
2017-06-23,2690.76
2017-06-24,2574.84
2017-06-25,2505.61
2017-06-26,2407.91
2017-06-27,2575.75
2017-06-28,2553.12
2017-06-29,2530.00
2017-06-30,2455.19
2017-07-01,2423.63
2017-07-02,2516.66
2017-07-03,2542.41
2017-07-04,2602.00
2017-07-05,2616.96
2017-07-06,2604.84
2017-07-07,2501.15
2017-07-08,2561.11
2017-07-09,2508.99
2017-07-10,2331.05
2017-07-11,2310.01
2017-07-12,2383.42
2017-07-13,2340.00
2017-07-14,2217.24
2017-07-15,1964.31
2017-07-16,1911.78
2017-07-17,2235.19
2017-07-18,2308.15
2017-07-19,2258.99
2017-07-20,2873.48
2017-07-21,2657.45
2017-07-22,2825.27
2017-07-23,2754.28
2017-07-24,2762.26
2017-07-25,2564.00
2017-07-26,2525.99
2017-07-27,2664.99
2017-07-28,2786.07
2017-07-29,2700.21
2017-07-30,2723.99
2017-07-31,2856.88
2017-08-01,2732.59
2017-08-02,2699.90
2017-08-03,2787.02
2017-08-04,2857.34
2017-08-05,3243.49
2017-08-06,3222.22
2017-08-07,3398.23
2017-08-08,3422.43
2017-08-09,3342.80
2017-08-10,3444.98
2017-08-11,3656.15
2017-08-12,3874.00
2017-08-13,4060.47
2017-08-14,4320.60
2017-08-15,4159.93
2017-08-16,4370.01
2017-08-17,4280.01
2017-08-18,4101.72
2017-08-19,4157.41
2017-08-20,4050.99
2017-08-21,4002.00
2017-08-22,4092.00
2017-08-23,4143.49
2017-08-24,4312.03
2017-08-25,4360.00
2017-08-26,4344.32
2017-08-27,4340.11
2017-08-28,4384.99
2017-08-29,4599.00
2017-08-30,4581.98
2017-08-31,4743.94
2017-09-01,4947.99
2017-09-02,4649.99
2017-09-03,4626.05
2017-09-04,4498.25
2017-09-05,4432.51
2017-09-06,4616.18
2017-09-07,4624.18
2017-09-08,4350.00
2017-09-09,4334.36
2017-09-10,4251.36
2017-09-11,4210.72
2017-09-12,4164.52
2017-09-13,3855.32
2017-09-14,3250.40
2017-09-15,3740.02
2017-09-16,3726.51
2017-09-17,3719.97
2017-09-18,4100.00
2017-09-19,3910.11
2017-09-20,3872.06
2017-09-21,3617.47
2017-09-22,3619.01
2017-09-23,3787.33
2017-09-24,3669.01
2017-09-25,3919.78
2017-09-26,3885.09
2017-09-27,4200.00
2017-09-28,4189.42
2017-09-29,4156.99
2017-09-30,4339.00
2017-10-01,4394.81
2017-10-02,4392.71
2017-10-03,4307.99
2017-10-04,4214.84
2017-10-05,4320.04
2017-10-06,4362.99
2017-10-07,4425.00
2017-10-08,4603.49
2017-10-09,4769.55
2017-10-10,4750.00
2017-10-11,4814.99
2017-10-12,5440.00
2017-10-13,5624.80
2017-10-14,5819.13
2017-10-15,5693.70
2017-10-16,5754.90
2017-10-17,5594.00
2017-10-18,5574.44
2017-10-19,5704.01
2017-10-20,5989.10
2017-10-21,6024.86
2017-10-22,6005.05
2017-10-23,5905.99
2017-10-24,5525.43
2017-10-25,5739.97
2017-10-26,5891.61
2017-10-27,5780.00
2017-10-28,5752.01
2017-10-29,6140.01
2017-10-30,6124.16
2017-10-31,6445.01
2017-11-01,6783.69
2017-11-02,7039.98
2017-11-03,7170.01
2017-11-04,7412.55
2017-11-05,7392.00
2017-11-06,6969.76
2017-11-07,7126.63
2017-11-08,7467.96
2017-11-09,7156.00
2017-11-10,6577.62
2017-11-11,6346.70
2017-11-12,5886.35
2017-11-13,6535.87
2017-11-14,6605.00
2017-11-15,7294.00
2017-11-16,7838.53
2017-11-17,7714.71
2017-11-18,7777.01
2017-11-19,8031.82
2017-11-20,8256.01
2017-11-21,8109.00
2017-11-22,8250.00
2017-11-23,8031.16
2017-11-24,8215.01
2017-11-25,8795.50
2017-11-26,9401.11
2017-11-27,9768.71
2017-11-28,9949.00
2017-11-29,9935.98
2017-11-30,9903.00
2017-12-01,10869.84
2017-12-02,10930.24
2017-12-03,11290.00
2017-12-04,11643.98
2017-12-05,11718.35
2017-12-06,14090.00
2017-12-07,17390.01
2017-12-08,16367.03
2017-12-09,15309.98
2017-12-10,15290.01
2017-12-11,16885.76
2017-12-12,17730.12
2017-12-13,16689.61
2017-12-14,16749.78
2017-12-15,17738.67
2017-12-16,19650.01
2017-12-17,19378.99
2017-12-18,19039.01
2017-12-19,17838.73
2017-12-20,16496.89
2017-12-21,15758.80
2017-12-22,14210.57
2017-12-23,15075.89
2017-12-24,14221.94
2017-12-25,14171.98
2017-12-26,15790.88
2017-12-27,15367.08
2017-12-28,14450.01
2017-12-29,14565.05
2017-12-30,12839.99
2017-12-31,13863.13
2018-01-01,13480.01
2018-01-02,14781.51
2018-01-03,15098.14
2018-01-04,15144.99
2018-01-05,16960.01
2018-01-06,17098.99
2018-01-07,16174.22
2018-01-08,14993.74
2018-01-09,14480.99
2018-01-10,14875.18
2018-01-11,13308.06
2018-01-12,13820.00
2018-01-13,14187.95
2018-01-14,13656.23
2018-01-15,13590.00
2018-01-16,11570.01
2018-01-17,11200.01
2018-01-18,11305.53
2018-01-19,11498.99
2018-01-20,12762.80
2018-01-21,11518.17
2018-01-22,10766.70
2018-01-23,10824.94
2018-01-24,11356.79
2018-01-25,11118.00
2018-01-26,11086.89
2018-01-27,11319.00
2018-01-28,11536.00
2018-01-29,11123.01
2018-01-30,9995.00
2018-01-31,10099.99
2018-02-01,9014.23
2018-02-02,8787.52
2018-02-03,9240.00
2018-02-04,8167.91
2018-02-05,6905.19
2018-02-06,7688.46
2018-02-07,7575.75
2018-02-08,8218.10
2018-02-09,8671.01
2018-02-10,8547.49
2018-02-11,8072.99
2018-02-12,8872.28
2018-02-13,8520.01
2018-02-14,9472.98
2018-02-15,10031.23
2018-02-16,10167.49
2018-02-17,11121.50
2018-02-18,10380.04
2018-02-19,11140.00
2018-02-20,11235.57
2018-02-21,10454.27
2018-02-22,9830.00
2018-02-23,10144.99
2018-02-24,9688.62
2018-02-25,9597.99
2018-02-26,10300.00
2018-02-27,10566.57
2018-02-28,10307.27
2018-03-01,10895.92
2018-03-02,11000.00
2018-03-03,11432.50
2018-03-04,11469.90
2018-03-05,11377.54
2018-03-06,10700.00
2018-03-07,9920.00
2018-03-08,9304.90
2018-03-09,9255.00
2018-03-10,8795.44
2018-03-11,9533.88
2018-03-12,9120.00
2018-03-13,9145.41
2018-03-14,8207.03
2018-03-15,8259.99
2018-03-16,8275.00
2018-03-17,7865.02
2018-03-18,8192.00
2018-03-19,8589.00
2018-03-20,8900.00
2018-03-21,8891.81
2018-03-22,8715.09
2018-03-23,8927.10
2018-03-24,8531.34
2018-03-25,8453.00
2018-03-26,8145.00
2018-03-27,7793.61
2018-03-28,7942.72
2018-03-29,7079.99
2018-03-30,6848.01
2018-03-31,6928.50
2018-04-01,6816.01
2018-04-02,7045.01
2018-04-03,7424.90
2018-04-04,6791.68
2018-04-05,6785.85
2018-04-06,6619.01
2018-04-07,6894.01
2018-04-08,7020.01
2018-04-09,6771.13
2018-04-10,6824.99
2018-04-11,6942.99
2018-04-12,7916.00
2018-04-13,7893.19
2018-04-14,8003.11
2018-04-15,8355.25
2018-04-16,8048.93
2018-04-17,7892.10
2018-04-18,8152.05
2018-04-19,8274.00
2018-04-20,8866.27
2018-04-21,8915.42
